date,denomination,value
2024-07-01,note_50,67303.8575
2024-08-01,note_50,67374.776325
2020-01-01,note_100,50100.2
2020-02-01,note_100,48775.0
2020-03-01,note_100,49771.5
2020-04-01,note_100,51188.0
2020-05-01,note_100,53214.4
2020-06-01,note_100,52951.6
2020-07-01,note_100,54131.4
2020-08-01,note_100,54378.3
2020-09-01,note_100,54875.6
2020-10-01,note_100,55250.2
2020-11-01,note_100,55077.8
2020-12-01,note_100,55421.100725
2021-01-01,note_100,56100.968375
2021-02-01,note_100,56190.577925
2021-03-01,note_100,55789.976975
2021-04-01,note_100,55874.937075
2021-05-01,note_100,55675.315575
2021-06-01,note_100,55341.083625
2021-07-01,note_100,55600.351725
2021-08-01,note_100,56064.855175
2021-09-01,note_100,56465.700525
2021-10-01,note_100,57186.186925
2021-11-01,note_100,57619.349325
2021-12-01,note_100,58697.027275
2022-01-01,note_100,60914.775025
2022-02-01,note_100,60567.783875
2022-03-01,note_100,60746.97405
2022-04-01,note_100,64286.8422
2022-05-01,note_100,63977.48115
2022-06-01,note_100,64448.42875
2022-07-01,note_100,64707.64125
2022-08-01,note_100,65214.6334
2022-09-01,note_100,65663.0437
2022-10-01,note_100,66833.00835
2022-11-01,note_100,67909.9995
2022-12-01,note_100,68864.2238
2023-01-01,note_100,70600.14335
2023-02-01,note_100,68820.3338
2023-03-01,note_100,68965.4881
2023-04-01,note_100,70125.69335
2023-05-01,note_100,69001.82625
2023-06-01,note_100,69827.05075
2023-07-01,note_100,69755.6866
2023-08-01,note_100,70026.0441
2023-09-01,note_100,70231.32715
2023-10-01,note_100,70589.81095
2023-11-01,note_100,71187.89835
2023-12-01,note_100,72345.3796
2024-01-01,note_100,74512.58595
2024-02-01,note_100,75090.48425
2024-03-01,note_100,74918.3598
2024-04-01,note_100,74451.0135
2024-05-01,note_100,74604.4873
2024-06-01,note_100,75309.56745
2024-07-01,note_100,75185.92355
2024-08-01,note_100,75489.1039
2020-01-01,note_500,74.7
2020-02-01,note_500,74.7
2020-03-01,note_500,74.7
2020-04-01,note_500,74.7
2020-05-01,note_500,74.7
2020-06-01,note_500,74.7
2020-07-01,note_500,74.7
2020-08-01,note_500,74.7
2020-09-01,note_500,74.7
2020-10-01,note_500,74.7
2020-11-01,note_500,74.7
2020-12-01,note_500,74.70225
2021-01-01,note_500,74.70225
2021-02-01,note_500,74.70225
2021-03-01,note_500,74.70225
2021-04-01,note_500,74.70225
2021-05-01,note_500,74.70225
2021-06-01,note_500,74.70225
2021-07-01,note_500,74.70225
2021-08-01,note_500,74.70225
2021-09-01,note_500,74.70225
2021-10-01,note_500,74.70225
2021-11-01,note_500,74.70225
2021-12-01,note_500,74.70225
2022-01-01,note_500,74.70225
2022-02-01,note_500,74.70225
2022-03-01,note_500,74.70225
2022-04-01,note_500,74.70225
2022-05-01,note_500,74.702
2022-06-01,note_500,74.702
2022-07-01,note_500,74.702
2022-08-01,note_500,74.702
2022-09-01,note_500,74.702
2022-10-01,note_500,74.702
2022-11-01,note_500,74.702
2022-12-01,note_500,74.702
2023-01-01,note_500,74.702
2023-02-01,note_500,74.702
2023-03-01,note_500,74.702
2023-04-01,note_500,74.701
2023-05-01,note_500,74.701
2023-06-01,note_500,74.701
2023-07-01,note_500,74.701
2023-08-01,note_500,74.701
2023-09-01,note_500,74.701
2023-10-01,note_500,74.701
2023-11-01,note_500,74.701
2023-12-01,note_500,74.701
2024-01-01,note_500,74.701
2024-02-01,note_500,74.701
2024-03-01,note_500,74.701
2024-04-01,note_500,74.701
2024-05-01,note_500,74.701
2024-06-01,note_500,74.7005
2024-07-01,note_500,74.7005
2024-08-01,note_500,74.7005
2020-01-01,note_1000,24.4
2020-02-01,note_1000,24.4
2020-03-01,note_1000,24.4
2020-04-01,note_1000,24.4
2020-05-01,note_1000,24.4
2020-06-01,note_1000,24.4
2020-07-01,note_1000,24.4
2020-08-01,note_1000,24.4
2020-09-01,note_1000,24.4
2020-10-01,note_1000,24.4
2020-11-01,note_1000,24.4
2020-12-01,note_1000,24.3795
2021-01-01,note_1000,24.3795
2021-02-01,note_1000,24.3795
2021-03-01,note_1000,24.3795
2021-04-01,note_1000,24.3795
2021-05-01,note_1000,24.3795
2021-06-01,note_1000,24.3795
2021-07-01,note_1000,24.3795
2021-08-01,note_1000,24.3795
2021-09-01,note_1000,24.3795
2021-10-01,note_1000,24.3795
2021-11-01,note_1000,24.3795
2021-12-01,note_1000,24.3795
2022-01-01,note_1000,24.3795
2022-02-01,note_1000,24.3795
2022-03-01,note_1000,24.3795
2022-04-01,note_1000,24.3785
2022-05-01,note_1000,24.3785
2022-06-01,note_1000,24.3785
2022-07-01,note_1000,24.3785
2022-08-01,note_1000,24.3715
2022-09-01,note_1000,24.3715
2022-10-01,note_1000,24.3715
2022-11-01,note_1000,24.3715
2022-12-01,note_1000,24.3715
2023-01-01,note_1000,24.3715
2023-02-01,note_1000,24.3715
2023-03-01,note_1000,24.3715
2023-04-01,note_1000,24.3715
2023-05-01,note_1000,24.3715
2023-06-01,note_1000,24.3715
2023-07-01,note_1000,24.3715
2023-08-01,note_1000,24.3715
2023-09-01,note_1000,24.3715
2023-10-01,note_1000,24.3715
2023-11-01,note_1000,24.3715
2023-12-01,note_1000,24.3715
2024-01-01,note_1000,24.3715
2024-02-01,note_1000,24.3715
2024-03-01,note_1000,24.3715
2024-04-01,note_1000,24.3715
2024-05-01,note_1000,24.3715
2024-06-01,note_1000,24.3715
2024-07-01,note_1000,24.3695
2024-08-01,note_1000,24.3695
2020-01-01,note_others,7.8
2020-02-01,note_others,7.8
2020-03-01,note_others,7.8
2020-04-01,note_others,7.8
2020-05-01,note_others,7.8
2020-06-01,note_others,7.8
2020-07-01,note_others,7.8
2020-08-01,note_others,7.8
2020-09-01,note_others,7.8
2020-10-01,note_others,7.8
2020-11-01,note_others,7.8
2020-12-01,note_others,7.80192
2021-01-01,note_others,7.80192
2021-02-01,note_others,7.80198
2021-03-01,note_others,7.80198
2021-04-01,note_others,7.80246
2021-05-01,note_others,7.80246
2021-06-01,note_others,7.80246
2021-07-01,note_others,7.80246
2021-08-01,note_others,7.80246
2021-09-01,note_others,7.80546
2021-10-01,note_others,7.80666
2021-11-01,note_others,7.80666
2021-12-01,note_others,7.80666
2022-01-01,note_others,7.80666
2022-02-01,note_others,7.80666
2022-03-01,note_others,7.80666
2022-04-01,note_others,7.80666
2022-05-01,note_others,7.80672
2022-06-01,note_others,7.80672
2022-07-01,note_others,7.80672
2022-08-01,note_others,7.80672
2022-09-01,note_others,7.80672
2022-10-01,note_others,7.80672
2022-11-01,note_others,7.80702
2022-12-01,note_others,7.80702
2023-01-01,note_others,7.80702
2023-02-01,note_others,7.80726
2023-03-01,note_others,7.80726
2023-04-01,note_others,7.80726
2023-05-01,note_others,7.80726
2023-06-01,note_others,7.80726
2023-07-01,note_others,7.80726
2023-08-01,note_others,7.80726
2023-09-01,note_others,7.80732
2023-10-01,note_others,7.80732
2023-11-01,note_others,7.80732
2023-12-01,note_others,7.80732
2024-01-01,note_others,7.80738
2024-02-01,note_others,7.80738
2024-03-01,note_others,7.80738
2024-04-01,note_others,7.80738
2024-05-01,note_others,7.80738
2024-06-01,note_others,7.80738
2024-07-01,note_others,7.80738
2024-08-01,note_others,7.80738
2020-01-01,coin_1,43.3
2020-02-01,coin_1,43.3
2020-03-01,coin_1,43.3
2020-04-01,coin_1,43.3
2020-05-01,coin_1,43.3
2020-06-01,coin_1,43.3
2020-07-01,coin_1,43.3
2020-08-01,coin_1,43.3
2020-09-01,coin_1,43.3
2020-10-01,coin_1,43.3
2020-11-01,coin_1,43.3
2020-12-01,coin_1,43.29494681
2021-01-01,coin_1,43.29494212
2021-02-01,coin_1,43.29493412
2021-03-01,coin_1,43.29493407
2021-04-01,coin_1,43.29492957
2021-05-01,coin_1,43.29492957
2021-06-01,coin_1,43.29492957
2021-07-01,coin_1,43.29492746
2021-08-01,coin_1,43.29492746
2021-09-01,coin_1,43.29491774
2021-10-01,coin_1,43.29491729
2021-11-01,coin_1,43.29416729
2021-12-01,coin_1,43.2941252
2022-01-01,coin_1,43.29410835
2022-02-01,coin_1,43.29408821
2022-03-01,coin_1,43.294054730000006
2022-04-01,coin_1,43.29399718
2022-05-01,coin_1,43.29380215
2022-06-01,coin_1,43.29377405
2022-07-01,coin_1,43.293693020000006
2022-08-01,coin_1,43.29368861
2022-09-01,coin_1,43.29361424
2022-10-01,coin_1,43.29359825
2022-11-01,coin_1,43.29351769
2022-12-01,coin_1,43.29348244
2023-01-01,coin_1,43.29345719
2023-02-01,coin_1,43.29343324
2023-03-01,coin_1,43.29329826
2023-04-01,coin_1,43.29323912
2023-05-01,coin_1,43.29318805
2023-06-01,coin_1,43.29316493
2023-07-01,coin_1,43.29189432
2023-08-01,coin_1,43.29180586
2023-09-01,coin_1,43.29153296
2023-10-01,coin_1,43.2914387
2023-11-01,coin_1,43.29128615
2023-12-01,coin_1,43.29118629
2024-01-01,coin_1,43.29109616
2024-02-01,coin_1,43.290706740000005
2024-03-01,coin_1,43.29068383
2024-04-01,coin_1,43.29064394
2024-05-01,coin_1,43.29052989
2024-06-01,coin_1,43.29050939
2024-07-01,coin_1,43.29042691
2024-08-01,coin_1,43.29038517
2020-01-01,coin_5,223.4
2020-02-01,coin_5,224.1
2020-03-01,coin_5,224.8
2020-04-01,coin_5,225.6
2020-05-01,coin_5,226.2
2020-06-01,coin_5,226.9
2020-07-01,coin_5,227.6
2020-08-01,coin_5,228.2
2020-09-01,coin_5,229.0
2020-10-01,coin_5,229.6
2020-11-01,coin_5,230.2
2020-12-01,coin_5,230.84055855000005
2021-01-01,coin_5,231.41355825
2021-02-01,coin_5,232.15905425
2021-03-01,coin_5,232.9629813
2021-04-01,coin_5,233.72196685000003
2021-05-01,coin_5,234.3246447
2021-06-01,coin_5,234.85260085
2021-07-01,coin_5,235.39253265
2021-08-01,coin_5,236.1125122
2021-09-01,coin_5,236.70501285000003
2021-10-01,coin_5,237.3395036
2021-11-01,coin_5,237.9439621
2021-12-01,coin_5,238.6338005
2022-01-01,coin_5,239.2847807
2022-02-01,coin_5,239.75873535
2022-03-01,coin_5,240.418706
2022-04-01,coin_5,241.02695465
2022-05-01,coin_5,241.70340235000003
2022-06-01,coin_5,242.3377628
2022-07-01,coin_5,242.8462258
2022-08-01,coin_5,243.40865025
2022-09-01,coin_5,243.95002145
2022-10-01,coin_5,244.5093773
2022-11-01,coin_5,245.17510055
2022-12-01,coin_5,245.76001725
2023-01-01,coin_5,246.3195105
2023-02-01,coin_5,246.8144872
2023-03-01,coin_5,247.37745125
2023-04-01,coin_5,247.9007668
2023-05-01,coin_5,248.5651931
2023-06-01,coin_5,249.10030245
2023-07-01,coin_5,249.73023065
2023-08-01,coin_5,250.2446983
2023-09-01,coin_5,250.6869796
2023-10-01,coin_5,251.2146769
2023-11-01,coin_5,251.7380822
2023-12-01,coin_5,254.7100822
2024-01-01,coin_5,255.3275822
2024-02-01,coin_5,255.8420822
2024-03-01,coin_5,259.0980822
2024-04-01,coin_5,259.6665822
2024-05-01,coin_5,262.8935822
2024-06-01,coin_5,263.37758219999995
2024-07-01,coin_5,263.9193469
2024-08-01,coin_5,264.4698469
2020-01-01,coin_10,836.1
2020-02-01,coin_10,838.6
2020-03-01,coin_10,840.5
2020-04-01,coin_10,842.8
2020-05-01,coin_10,844.9
2020-06-01,coin_10,847.3
2020-07-01,coin_10,850.1
2020-08-01,coin_10,852.6
2020-09-01,coin_10,855.6
2020-10-01,coin_10,857.8
2020-11-01,coin_10,860.2
2020-12-01,coin_10,862.6250332999999
2021-01-01,coin_10,865.0090011
2021-02-01,coin_10,867.602453
2021-03-01,coin_10,871.170024
2021-04-01,coin_10,874.8912924
2021-05-01,coin_10,877.3298002
2021-06-01,coin_10,879.3275029
2021-07-01,coin_10,881.2732187
2021-08-01,coin_10,883.5291894
2021-09-01,coin_10,886.2569547999999
2021-10-01,coin_10,889.3228277999999
2021-11-01,coin_10,892.6213745999999
2021-12-01,coin_10,895.8302479
2022-01-01,coin_10,898.9447408999999
2022-02-01,coin_10,901.1521834
2022-03-01,coin_10,904.05338
2022-04-01,coin_10,907.1109052
2022-05-01,coin_10,910.4883721
2022-06-01,coin_10,913.9754609
2022-07-01,coin_10,917.0609744
2022-08-01,coin_10,920.2523695
2022-09-01,coin_10,922.8930223
2022-10-01,coin_10,925.6049151
2022-11-01,coin_10,928.5745626
2022-12-01,coin_10,931.3816889
2023-01-01,coin_10,933.9490695
2023-02-01,coin_10,936.2606399
2023-03-01,coin_10,939.0816605
2023-04-01,coin_10,941.3701177
2023-05-01,coin_10,944.2070931
2023-06-01,coin_10,946.5101029
2023-07-01,coin_10,948.945893
2023-08-01,coin_10,951.2187413
2023-09-01,coin_10,953.0822973
2023-10-01,coin_10,955.3183868
2023-11-01,coin_10,957.392896
2023-12-01,coin_10,957.929896
2024-01-01,coin_10,960.295896
2024-02-01,coin_10,962.235896
2024-03-01,coin_10,962.7818960000002
2024-04-01,coin_10,965.1198960000002
2024-05-01,coin_10,965.6628960000002
2024-06-01,coin_10,967.784896
2024-07-01,coin_10,970.1045013
2024-08-01,coin_10,972.1650013
2020-01-01,coin_20,1096.6
2020-02-01,coin_20,1100.0
2020-03-01,coin_20,1102.8
2020-04-01,coin_20,1105.8
2020-05-01,coin_20,1108.9
2020-06-01,coin_20,1112.4
2020-07-01,coin_20,1116.3
2020-08-01,coin_20,1120.0
2020-09-01,coin_20,1124.5
2020-10-01,coin_20,1127.7
2020-11-01,coin_20,1131.0
2020-12-01,coin_20,1134.6528816
2021-01-01,coin_20,1138.1958802
2021-02-01,coin_20,1142.1536028
2021-03-01,coin_20,1147.471083
2021-04-01,coin_20,1152.9324094
2021-05-01,coin_20,1156.5308781999995
2021-06-01,coin_20,1159.7322494
2021-07-01,coin_20,1162.8696478
2021-08-01,coin_20,1166.4135802
2021-09-01,coin_20,1170.4388241999998
2021-10-01,coin_20,1175.029815
2021-11-01,coin_20,1179.8832576
2021-12-01,coin_20,1184.7443256
2022-01-01,coin_20,1189.0577314000002
2022-02-01,coin_20,1192.4339235999998
2022-03-01,coin_20,1196.835794
2022-04-01,coin_20,1201.299604
2022-05-01,coin_20,1206.2885154
2022-06-01,coin_20,1211.463163
2022-07-01,coin_20,1216.0271598
2022-08-01,coin_20,1220.623714
2022-09-01,coin_20,1224.5440968
2022-10-01,coin_20,1228.4674991999998
2022-11-01,coin_20,1232.7861442
2022-12-01,coin_20,1236.7358571999998
2023-01-01,coin_20,1240.305533
2023-02-01,coin_20,1243.6215698
2023-03-01,coin_20,1247.7493134
